
Fuel Cell Controller
Horizon H-100 Stack
(c) Simon Howroyd 2013
Loughborough University

controller  Copyright (C) 2013  Simon Howroyd
This program comes with ABSOLUTELY NO WARRANTY; for details type `show w'.
This is free software, and you are welcome to redistribute it,
under certain conditions; type `show c' for details.

Mon Jan 27 15:01:37 2014


 1390834902.206564	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834902.25077	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834902.294747	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834902.332324	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834902.378466	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834902.414357	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834902.452274	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834902.491245	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834902.528403	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834902.573389	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834902.614731	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834902.63947	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834902.694505	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834902.726932	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
