
Fuel Cell Controller
Horizon H-100 Stack
(c) Simon Howroyd 2013
Loughborough University

controller  Copyright (C) 2013  Simon Howroyd
This program comes with ABSOLUTELY NO WARRANTY; for details type `show w'.
This is free software, and you are welcome to redistribute it,
under certain conditions; type `show c' for details.

Tue Jan 28 13:59:36 2014


 1390917582.497902	0.927216	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917582.543762	0.973110	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917582.588735	1.018081	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917582.630898	1.060245	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917582.672818	1.102166	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917582.722554	1.151901	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917582.765505	1.194852	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917582.810408	1.239752	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917582.853836	1.283183	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917582.898638	1.327985	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917582.939045	1.368393	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917582.985241	1.414588	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917583.026986	1.456335	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917583.074264	1.503611	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917583.115216	1.544563	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917583.157188	1.586534	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917583.201207	1.630555	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
