
Fuel Cell Controller
Horizon H-100 Stack
(c) Simon Howroyd 2013
Loughborough University

controller  Copyright (C) 2013  Simon Howroyd
This program comes with ABSOLUTELY NO WARRANTY; for details type `show w'.
This is free software, and you are welcome to redistribute it,
under certain conditions; type `show c' for details.

Tue Jan 28 14:01:52 2014


 1390917717.138909	0.000000	STA	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917717.175753	0.000000	STA	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917717.21224	0.000000	STA	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917717.247644	0.000000	STA	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917717.293396	0.000000	STA	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917717.321153	0.000000	STA	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917717.35903	0.000000	STA	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917717.401139	0.000000	STA	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917717.429752	0.000000	STA	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917717.462314	0.000000	STA	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917717.49594	0.000000	STA	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917717.541706	0.000000	STA	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917717.570845	0.000000	STA	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917717.608375	0.000000	STA	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917717.646677	0.000000	STA	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917717.72054	0.009457	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917717.764416	0.053332	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917717.8134	0.102318	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
